Mandant,Parkareal-ID,Parkfläche,Parkeinheit,B2B Partner ID (Spedition),B2B Partner (Spedition),Zutrittsmedium,Kundengruppe,Unnamed: 0,ParkingAreaID,ParkingName,Address,City,Unnamed: 5,Unnamed: 6,Unnamed: 7,merge_key,Name,Adress,City_koords,CountryCode,Longitude,Latitude,100 kW to 250 kW,24/7,Accomodation,App Parking,B2C Prohibited,Bosch partner network,CCS2,CCTV ,Certified,Charging card,Credit card,Dangerous Goods Allowed,De-Minimis,Decoupling of Trailers,Diesel,Electricity Charging,Electricity Supply for Frigo,Extra Long Truck Allowed,Fence,Flow Parking,Forward entry ,Forward exit ,Frigo allowed,Gate,Guard personal (24 hours) or Control Center,Has Realtime Data,Hydrogen,Internetlink,Less than 100 kW,Licence plate,Lighting,Liquefied Natural Gas,MCS,Mobile Ticket Payment,More than 250 kW,Occupancy information,On the go,Parking Fee,Personal access control,Petrol station,PIN,QR-Code,Reception parking,Reservable,Restaurant/ Shop,Restricted vehicle access,Restroom,Shower,Truck only,Truck repair,Truck wash,Vending Machines,Wifi,Detail Link,TariffGross,TariffNet,Silver,Gold,Provider,PreBooking URL,Raw Feature IDs
Przystanek Roszkow,2922,Przystanek Roszkow,Przystanek Roszkow,3472.0,Kis-Döme Kft,AIMU117,B2B,,2922.0,Przystanek Roszkow,Raciborska 42,47-450,47-450,PL,Bosch,raciborska 42 47-450,Przystanek Roszkow,Raciborska 42,47-450,PL,18.30249798,49.95975621,No,Yes,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,Yes,https://portal.bosch-secure-truck-parking.com/?detail=1&id=4915&locale=en,12 hours: 5 €    24 hours: 8 €    48 hours: 15 €,12 hours: 5 €    24 hours: 8 €    48 hours: 15 €,no,no,Bosch,https://portal.bosch-secure-truck-parking.com/iPCP/admin/bstpBookingAdmin?pu=2921,"1004, 1007, 1011, 1101, 1302, 1020, 1006, 1005, 1014, 1251, 1301, 1003"
Red Lion Truck Stop,3018,Red Lion Truck Stop,Red Lion Truck Stop,352.0,KAWCZYŃSKI LOGISTICS SP. Z O.O.,CNA25329,B2B,,3018.0,Red Lion Truck Stop,A45 Weedon Rd,Northamptonshire,NN7 4DE,GB,Bosch,a45 weedon rd northamptonshire,Red Lion Truck Stop,A45 Weedon Rd,Northamptonshire,GB,-1.00473,52.231972,No,Yes,No,No,No,Yes,No,Yes,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,Yes,Yes,No,No,No,No,Yes,No,No,No,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,No,No,Yes,No,Yes,https://portal.bosch-secure-truck-parking.com/?detail=1&id=5377&locale=en,"24 hours: £ 25,83","24 hours: £ 25,83",no,yes,Bosch,https://portal.bosch-secure-truck-parking.com/iPCP/admin/bstpBookingAdmin?pu=3017,"1004, 1007, 1011, 1025, 1101, 1017, 1019, 1012, 1009, 1302, 1020, 1005, 1002, 1014, 1051, 1301, 1003"
REWE Zentrallager Lahr,9052,Rewe Zentrallager Lahr,Rewe Zentrallager Lahr,10202.0,KRYSTIAN HENZEL ,WGM2034H,B2B,,,,,,,,, ,Testareal,,,,8.666247,49.1964278,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,https://portal.bosch-secure-truck-parking.com/?detail=1&id=4707&locale=en,,,no,no,Bosch,,
Rewe Zentrallager Magdeburg,1452,Rewe Zentrallager Magdeburg,Rewe Zentrallager Magdeburg,,,MJK926,B2B,,1452.0,Rewe Zentrallager Magdeburg,Burgerstr. 12,Magdeburg,39126,DE,Bosch,burgerstr. 12 magdeburg,Rewe Zentrallager Magdeburg,Burgerstr. 12,Magdeburg,DE,11.65470064,52.1938546,No,Yes,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No,Yes,Yes,No,No,Yes,Yes,No,No,No,No,No,https://portal.bosch-secure-truck-parking.com/?detail=1&id=4906&locale=en,"12 hours: 15,00 €    24 hours: 27,50 €    48 hours: 44,00 €","12 hours: 12,61 €    24 hours: 23,11 €    48 hours: 36,97 €",no,no,Bosch,https://portal.bosch-secure-truck-parking.com/iPCP/admin/bstpBookingAdmin?pu=1451,"1004, 1011, 1101, 1019, 1012, 1302, 1020, 1005, 1014, 1251, 1301"
Rosi´s Autohof Dorfmark,1758,Rosi´s Autohof Dorfmark,Rosi´s Autohof Dorfmark,,,SC8242V,B2B,,1758.0,Rosi´s Autohof Dorfmark,Klaus-Seckel-Straße 2,Dorfmark,29683,DE,Bosch,klaus-seckel-straße 2 dorfmark,Rosi´s Autohof Dorfmark,Klaus-Seckel-Straße 2,Dorfmark,DE,9.76811741,52.89220265,No,Yes,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,Yes,No,Yes,No,Yes,Yes,No,Yes,Yes,No,No,No,No,Yes,https://portal.bosch-secure-truck-parking.com/?detail=1&id=4926&locale=en,"24 hours: 14,28 €","24 hours: 12,00 €",no,no,Bosch,https://portal.bosch-secure-truck-parking.com/iPCP/admin/bstpBookingAdmin?pu=1757,"1004, 1007, 1011, 1022, 1012, 1302, 1020, 1013, 1005, 1002, 1014, 1251, 1301, 1003"
Scandinavianpark,808,Scandinavianpark,Scandinavianpark,1381.0,Nexways Cargo kft.,AEFE814,B2B,,808.0,Scandinavianpark,Scandinavianpark 1,Handewitt,24983,DE,Bosch,scandinavianpark 1 handewitt,Scandinavianpark,Scandinavianpark 1,Handewitt,DE,9.33300343,54.77978048,No,Yes,Yes,Yes,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,Yes,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,Yes,No,Yes,Yes,No,No,Yes,No,Yes,https://portal.bosch-secure-truck-parking.com/?detail=1&id=4804&locale=en,"12 hours: 7,00 €    24 hours: 14,00 €    48 hours: 20,00 €","12 hours: 5,88 €    24 hours: 11,76 €    48 hours: 16,81 €",yes,no,Bosch,https://portal.bosch-secure-truck-parking.com/iPCP/admin/bstpBookingAdmin?pu=807,"1004, 1007, 1011, 1017, 1012, 1009, 1302, 1020, 1006, 1013, 1005, 1014, 1152, 1251, 1301, 1003"
Schmidt Kühltransporte München GmbH,3568,Schmidt Kühltransporte München GmbH,Schmidt Kühltransporte München GmbH,,,PZ2J139,B2B,,3568.0,Schmidt Kühltransporte München GmbH,Drahtzieher Str. 13,Roth,91154,DE,Bosch,drahtzieher str. 13 roth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SIFTAS Parking Poids Lourds Sécurisé,1181,SIFTAS Parking Poids Lourds Sécurisé,SIFTAS Parking Poids Lourds Sécurisé,4485.0,Brian Yeardley Continental Ltd ,S10BYC,B2B,,1181.0,SIFTAS Parking Poids Lourds Sécurisé,Rue des Entrepreneurs,ATTIGNAT,01340,FR,Bosch,rue des entrepreneurs attignat,SIFTAS - Parking Poids Lourd Sécurisé,Rue des entrepreneurs ,Attignat,FR,5.16976076,46.26364236,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,https://portal.bosch-secure-truck-parking.com/?detail=1&id=4976&locale=en,12h: 23.00€    24h: 30.00€    48h: 50.00€    9h: 17.50€    72h: 70.00€    ,12h: 23.00€    24h: 30.00€    48h: 50.00€    9h: 17.50€    72h: 70.00€    ,yes,no,Travis,https://portal.bosch-secure-truck-parking.com/iPCP/admin/bstpBookingAdmin?pu=2611,"1101, 1017, 1012, 1005, 1014"
SimpleBreath GmbH,3424,SimpleBreath GmbH,SimpleBreath GmbH,,,NJB579,B2B,,3424.0,Simple Parking,An der Ziegelei 16,Markranstädt,04420,DE,Bosch,an der ziegelei 16 markranstädt,Simple Parking,An der Ziegelei 16,Markranstädt,DE,12.1824668,51.3090935,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,https://portal.bosch-secure-truck-parking.com/?detail=1&id=5519&locale=en,12h: 14.40€    24h: 28.80€    ,12h: 14.40€    24h: 28.80€    ,yes,no,Travis,https://portal.bosch-secure-truck-parking.com/iPCP/admin/bstpBookingAdmin?pu=3493,"1101, 1017, 1012, 1014"
Stork,1756,Stork,Stork,1928.0,"UAB ""KLP transport"" ",NIT656,B2B,,1756.0,Stork,Spółdzielcza ,Grębocin,87-162,PL,Bosch,spółdzielcza grębocin,Stork,Spółdzielcza ,Grębocin,PL,18.72726145,53.06425806,No,Yes,No,Yes,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,Yes,Yes,No,No,Yes,No,No,https://portal.bosch-secure-truck-parking.com/?detail=1&id=4925&locale=en,"1 hour: 6,15 €    12 hours: 12,30 €    24 hours: 18,45 €    48 hours: 36,90 €","1 hour: 5,00 €    12 hours: 10,00 €    24 hours: 15,00 €    48 hours: 30,00 €",yes,no,Bosch,https://portal.bosch-secure-truck-parking.com/iPCP/admin/bstpBookingAdmin?pu=1755,"1004, 1011, 1017, 1012, 1009, 1302, 1020, 1005, 1014, 1152, 1251, 1301"
TACCHINI PARK,1761,TACCHINI PARK,TACCHINI PARK,1451.0,SC INOVATIV LOGISTIC SRL,9578MXF,B2B,,1761.0,TACCHINI PARK,Via Federico Coppalati 51,Piacenza,29122,IT,Bosch,via federico coppalati 51 piacenza,TACCHINI PARK,Via Federico Coppalati 51,Piacenza,IT,9.74811,45.03896,No,Yes,Yes,Yes,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,Yes,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,Yes,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,No,No,Yes,No,Yes,https://portal.bosch-secure-truck-parking.com/?detail=1&id=4927&locale=en,"24 hours: 21,96 €","24 hours: 18,00 €",yes,no,Bosch,https://portal.bosch-secure-truck-parking.com/iPCP/admin/bstpBookingAdmin?pu=1760,"1004, 1007, 1011, 1101, 1017, 1019, 1012, 1009, 1302, 1020, 1006, 1013, 1005, 1002, 1014, 1016, 1251, 1301, 1003"
Thiersheim,8,Autohof Thiersheim,Autohof Thiersheim,1935.0,"UAB ""Girtrans"" ",NJC198,B2B,,8.0,Autohof Thiersheim,Wampener Str. 1,Thiersheim,95707,DE,Bosch,wampener str. 1 thiersheim,Autohof Thiersheim,Wampener Str. 1,Thiersheim,DE,12.09964297,50.07353584,No,Yes,No,Yes,No,Yes,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,Yes,No,Yes,No,Yes,Yes,No,Yes,Yes,No,No,Yes,No,Yes,https://portal.bosch-secure-truck-parking.com/?detail=1&id=1004&locale=en,"24 hours: 10,00 €    72 hours: 15,00 €    Restaurant Voucher: 5 € included ","24 hours: 8,40 €    72 hours: 12,61 €    Restaurant Voucher: 5 € included ",no,no,Bosch,https://portal.bosch-secure-truck-parking.com/iPCP/admin/bstpBookingAdmin?pu=6,"1004, 1007, 1011, 1025, 1022, 1017, 1019, 1009, 1302, 1020, 1013, 1005, 1002, 1014, 1151, 1251, 1003"
Total Autohof Schopsdorf,902,Total Autohof Schopsdorf,Total Autohof Schopsdorf,,,PY02180,B2B,,902.0,Total Autohof Schopsdorf,Heidestraße 5,Schopsdorf,39291,DE,Bosch,heidestraße 5 schopsdorf,Total Autohof Schopsdorf,Heidestraße 5,Schopsdorf,DE,12.24881081,52.24848756,No,Yes,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No,No,Yes,No,No,No,No,Yes,No,No,No,Yes,No,No,No,Yes,Yes,No,Yes,Yes,No,No,No,No,Yes,https://portal.bosch-secure-truck-parking.com/?detail=1&id=4811&locale=en,"12 hours: 8,33 €    24 hours: 10,71 €    48 hours: 17,85 €","12 hours: 7,00 €    24 hours: 9,00 €    48 hours: 15,00 €",no,no,Bosch,https://portal.bosch-secure-truck-parking.com/iPCP/admin/bstpBookingAdmin?pu=901,"1004, 1007, 1011, 1302, 1020, 1006, 1013, 1005, 1002, 1014, 1152, 1251, 1301, 1003"
Transmas Katy W,1456,Transmas Katy W,Transmas Katy W,352.0,KAWCZYŃSKI LOGISTICS SP. Z O.O.,CNA26349,B2B,,1456.0,Transmas Katy W,ul. Ks. J. Popiełuszki 44,Kąty Wrocławskie,55-080,PL,Bosch,ul. ks. j. popiełuszki 44 kąty wrocławskie,Transmas Katy W,ul. Ks. J. Popiełuszki 44,Kąty Wrocławskie,PL,16.75221505,51.01763932,No,Yes,No,Yes,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,Yes,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,Yes,No,No,No,Yes,Yes,No,No,Yes,No,No,No,No,No,No,https://portal.bosch-secure-truck-parking.com/?detail=1&id=4908&locale=en,"24 hours: 7,50€","24 hours: 7,50€",yes,no,Bosch,https://portal.bosch-secure-truck-parking.com/iPCP/admin/bstpBookingAdmin?pu=1455,"1004, 1011, 1101, 1017, 1019, 1012, 1302, 1020, 1013, 1014, 1016, 1251, 1301"
Transportes Calsina Y Carre S.L.,1352,Transportes Calsina Y Carre S.L.,Transportes Calsina Y Carre S.L.,1380.0,SCG Dominik Ledzion,EL2AH87,B2B,,1352.0,Transportes Calsina Y Carre S.L.,"Cami del Roure, 5",Pont de Molins,17706,ES,Bosch,"cami del roure, 5 pont de molins",Transportes Calsina Y Carre S.L.,"Cami del Roure, 5",Pont de Molins,ES,2.93620904,42.31794745,No,Yes,No,Yes,No,Yes,No,Yes,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,Yes,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,Yes,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,https://portal.bosch-secure-truck-parking.com/?detail=1&id=4895&locale=en,"12 hours: 15,91 €    24 hours: 19,83 €    48 hours: 34,71 €    72 hours: 49,59 €    ","12 hours: 15,91 €    24 hours: 19,83 €    48 hours: 34,71 €    72 hours: 49,59 €    ",yes,no,Bosch,https://portal.bosch-secure-truck-parking.com/iPCP/admin/bstpBookingAdmin?pu=1351,"1004, 1007, 1011, 1101, 1017, 1019, 1012, 1009, 1008, 1302, 1020, 1013, 1005, 1002, 1014, 1051, 1016, 1251, 1301, 1003"
Travis Extern AT,2038,Müller Transporte GmbH,Müller Transporte GmbH,1312.0,Van Cargo,W1TES1A,B2B,,2038.0,Müller Transporte GmbH,Palmerstraße 10,Wr. Neudorf,2351,AT,Travis,palmerstraße 10 wr. neudorf,Müller Transporte GmbH,Palmerstraße 10,Wr. Neudorf,AT,16.32161976,48.09530207,No,Yes,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,Yes,No,No,No,No,Yes,https://portal.bosch-secure-truck-parking.com/?detail=1&id=5101&locale=en,24h: 27.50€    ,24h: 27.50€    ,yes,no,Travis,https://portal.bosch-secure-truck-parking.com/iPCP/admin/bstpBookingAdmin?pu=2037,"1007, 1011, 1101, 1017, 1019, 1012, 1302, 1020, 1005, 1014"
Travis Extern AT,2410,Kusztrich GmbH,Kusztrich GmbH,651.0,Trawöger Transport GmbH,GJ13DWD,B2B,,2410.0,Kusztrich GmbH,Twin City Businesspark 1,Potzneusiedl,2473,AT,Travis,twin city businesspark 1 potzneusiedl,Kusztrich GmbH,Twin City Businesspark 1,Potzneusiedl,AT,16.9395815,48.02687976,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,https://portal.bosch-secure-truck-parking.com/?detail=1&id=5194&locale=en,12h: 8.00€    1h: 2.00€    24h: 10.00€    48h: 18.00€    9h: 6.00€    72h: 25.00€    ,12h: 8.00€    1h: 2.00€    24h: 10.00€    48h: 18.00€    9h: 6.00€    72h: 25.00€    ,no,no,Travis,https://portal.bosch-secure-truck-parking.com/iPCP/admin/bstpBookingAdmin?pu=2409,"1011, 1101, 1302, 1020, 1014"
Travis Extern AT,2218,Welog Truck & Trailer GmbH,Welog Truck & Trailer GmbH,1674.0,JOVIMER CZ spol. s r.o.,2BN3636,B2B,,2218.0,Welog Truck & Trailer GmbH,Neudorf 163,Ilz,8262,AT,Travis,neudorf 163 ilz,Welog Truck & Trailer GmbH,Neudorf 163,Ilz,AT,15.95707293,47.07917289,No,Yes,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,No,No,Yes,No,No,No,No,Yes,https://portal.bosch-secure-truck-parking.com/?detail=1&id=5253&locale=en,1h: 3.33€    24h: 14.17€    48h: 28.33€    72h: 42.50€    ,1h: 3.33€    24h: 14.17€    48h: 28.33€    72h: 42.50€    ,no,no,Travis,https://portal.bosch-secure-truck-parking.com/iPCP/admin/bstpBookingAdmin?pu=2217,"1007, 1011, 1101, 1017, 1006, 1005, 1014, 1003"
Travis Extern AT,2216,GENTRACO Kfz Handels u. Servicegesellschaft mbH,GENTRACO Kfz Handels u. Servicegesellschaft mbH,1928.0,"UAB ""KLP transport"" ",NIK494,B2B,,2216.0,GENTRACO Kfz Handels u. Servicegesellschaft mbH,Hermannsdorf 2,St.Georgen/ Y,3304,AT,Travis,hermannsdorf 2 st.georgen/ y,GENTRACO Kfz Handels u. Servicegesellschaft mbH,Hermannsdorf 2,St.Georgen/ Y,AT,14.963006,48.118691,No,Yes,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,Yes,https://portal.bosch-secure-truck-parking.com/?detail=1&id=5057&locale=en,24h: 10.00€    ,24h: 10.00€    ,yes,no,Travis,https://portal.bosch-secure-truck-parking.com/iPCP/admin/bstpBookingAdmin?pu=2215,"1007, 1011, 1101, 1017, 1012, 1302, 1020, 1014"
Travis Extern BE,2430,Truckstop 26Bis,Truckstop 26Bis,1304.0,Lorenc Logistic Polska Sp. z o.o.,PO4WG02,B2B,,2430.0,Truckstop 26Bis,Industrieweg 15,Heusden-Zolder,3550,BE,Travis,industrieweg 15 heusden-zolder,Truckstop 26Bis,Industrieweg 15,Heusden-Zolder,BE,5.24067589,50.99315088,No,No,Yes,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No,No,Yes,No,No,No,No,Yes,https://portal.bosch-secure-truck-parking.com/?detail=1&id=5285&locale=en,24h: 20.00€    48h: 40.00€    72h: 60.00€    ,24h: 20.00€    48h: 40.00€    72h: 60.00€    ,yes,no,Travis,https://portal.bosch-secure-truck-parking.com/iPCP/admin/bstpBookingAdmin?pu=2429,"1007, 1101, 1017, 1019, 1012, 1302, 1020, 1006, 1005, 1014, 1003"
Travis Extern BE,2130,Intrabel NV,Intrabel NV,10202.0,KRYSTIAN HENZEL ,WPR4577U,B2B,,2130.0,Intrabel NV,Impulsstraat 6,Heist-Op-Den-Berg,2220,BE,Travis,impulsstraat 6 heist-op-den-berg,Intrabel NV,Impulsstraat 6,Heist-Op-Den-Berg,BE,4.69774441,51.06485638,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,Yes,No,No,No,No,Yes,https://portal.bosch-secure-truck-parking.com/?detail=1&id=5188&locale=en,24h: 25.00€    ,24h: 25.00€    ,yes,no,Travis,https://portal.bosch-secure-truck-parking.com/iPCP/admin/bstpBookingAdmin?pu=2129,"1007, 1101, 1017, 1012, 1302, 1020, 1005, 1014"
Travis Extern BE,2416,DBT Nieuwmoer,DBT Nieuwmoer,10202.0,KRYSTIAN HENZEL ,WGM94458,B2B,,2416.0,DBT Nieuwmoer,de Magermanse Heide 11,Nieuwmoer,2920,BE,Travis,de magermanse heide 11 nieuwmoer,DBT Nieuwmoer,de Magermanse Heide 11,Nieuwmoer,BE,4.50564885,51.44162059,No,Yes,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,Yes,Yes,No,No,No,No,Yes,https://portal.bosch-secure-truck-parking.com/?detail=1&id=5270&locale=en,24h: 29.00€    48h: 49.00€    72h: 69.00€    ,24h: 29.00€    48h: 49.00€    72h: 69.00€    ,yes,no,Travis,https://portal.bosch-secure-truck-parking.com/iPCP/admin/bstpBookingAdmin?pu=2415,"1004, 1007, 1011, 1101, 1017, 1012, 1302, 1020, 1005, 1014"
Travis Extern BE,2142,Batim Transport BV - (Depot Parking),Batim Transport BV - (Depot Parking),10202.0,KRYSTIAN HENZEL ,WGM8727A,B2B,,2142.0,Batim Transport BV - (Depot Parking),Lar Blok Z 7,Menen,8930,BE,Travis,lar blok z 7 menen,Batim Transport BV - (Depot Parking),Lar Blok Z 7,Menen,BE,3.19959491,50.77171462,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,Yes,No,No,No,No,Yes,https://portal.bosch-secure-truck-parking.com/?detail=1&id=5142&locale=en,24h: 25.00€    ,24h: 25.00€    ,yes,no,Travis,https://portal.bosch-secure-truck-parking.com/iPCP/admin/bstpBookingAdmin?pu=2141,"1007, 1101, 1017, 1012, 1302, 1020, 1005, 1014"
Travis Extern BE,2118,Van Mieghem Saintes - (Depot Parking),Van Mieghem Saintes - (Depot Parking),12156.0,STI Deutschland GmbH ,BWY8788DUFM712,B2B,,2118.0,Van Mieghem Saintes - (Depot Parking),88 Avenue Ernest Solvay ,Saintes,1480,BE,Travis,88 avenue ernest solvay saintes,Van Mieghem Saintes - (Depot Parking),88 Avenue Ernest Solvay ,Saintes,BE,4.170895,50.709391,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,Yes,No,No,No,No,No,https://portal.bosch-secure-truck-parking.com/?detail=1&id=5230&locale=en,12h: 21.49€    24h: 31.41€    48h: 41.32€    ,12h: 21.49€    24h: 31.41€    48h: 41.32€    ,yes,no,Travis,https://portal.bosch-secure-truck-parking.com/iPCP/admin/bstpBookingAdmin?pu=2117,"1101, 1017, 1019, 1012, 1302, 1020, 1005, 1014"
Travis Extern BE,3314,IDETA Truck Parking,IDETA Truck Parking,3451.0,Milton Sp. Z o.o.,PZ398YA,B2B,,3314.0,IDETA Truck Parking,Zone Industrielle Ouest 3 ,Tournai,7500,BE,Travis,zone industrielle ouest 3 tournai,IDETA Truck Parking,Zone Industrielle Ouest 3 ,Tournai,BE,3.31696836,50.61712335,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,Yes,No,No,No,No,Yes,https://portal.bosch-secure-truck-parking.com/?detail=1&id=5469&locale=en,12h: 20.00€    24h: 24.00€    48h: 42.00€    9h: 18.00€    72h: 60.00€    ,12h: 20.00€    24h: 24.00€    48h: 42.00€    9h: 18.00€    72h: 60.00€    ,yes,no,Travis,https://portal.bosch-secure-truck-parking.com/iPCP/admin/bstpBookingAdmin?pu=3313,"1007, 1101, 1017, 1012, 1302, 1020, 1005, 1014"
Travis Extern BE,2386,Dekker Transport BVBA,Dekker Transport BVBA,10202.0,KRYSTIAN HENZEL ,WPR2661T,B2B,,2386.0,Dekker Transport BVBA,Vosmeer 8,Dendermonde,9200,BE,Travis,vosmeer 8 dendermonde,Dekker Transport BVBA,Vosmeer 8,Dendermonde,BE,4.1334741,51.03048657,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes,https://portal.bosch-secure-truck-parking.com/?detail=1&id=4970&locale=en,24h: 19.45€    ,24h: 19.45€    ,yes,no,Travis,https://portal.bosch-secure-truck-parking.com/iPCP/admin/bstpBookingAdmin?pu=2385,"1007, 1101, 1017, 1012, 1014"
Travis Extern BE,2124,Van Mieghem Fleurus - (Depot Parking),Van Mieghem Fleurus - (Depot Parking),4151.0,TRANS EURO EXPRESS 94 SRL ,B861EEX,B2B,,2124.0,Van Mieghem Fleurus - (Depot Parking),10 Rue du progrès ,Fleurus,6220,BE,Travis,10 rue du progrès fleurus,Van Mieghem Fleurus - (Depot Parking),10 Rue du progrès ,Fleurus,BE,4.527865,50.460714,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,Yes,No,No,No,No,No,https://portal.bosch-secure-truck-parking.com/?detail=1&id=5131&locale=en,12h: 21.49€    24h: 31.41€    48h: 41.32€    ,12h: 21.49€    24h: 31.41€    48h: 41.32€    ,no,no,Travis,https://portal.bosch-secure-truck-parking.com/iPCP/admin/bstpBookingAdmin?pu=2123,"1101, 1017, 1019, 1012, 1302, 1020, 1005"
