parkplatz_id,latitude,longitude,nearest_station_id,nearest_station_dist_km,station_id,road_class,road_number,road_suffix,station_lat,station_lon
DE-HE-450018,50.59177,8.520619,6404,2.452049561578242,6404,B,49,,50.57145569740778,8.53413069675126
DE-NW-000156,50.928467,6.778489,5053,5.791233482313023,5053,A,4,,50.92067005799566,6.860182324752055
DE-NW-000271,50.880676,7.935211,5106,2.2655384807730528,5106,A,45,,50.898709079722536,7.92017816644519
DE-RP-000083,50.020073,6.634598,7560,3.7272194873021127,7560,A,60,,50.00886334041124,6.683757668263679
DE-NW-000061,52.018097,8.63481,5155,1.426685441862433,5155,A,2,,52.00659136022522,8.625584626197293
DE-BB-365102,52.33722,14.22317,3608,10.27999872391059,3608,A,12,,52.334654982384365,14.071926277660243
DE-NI-312201,52.88286,9.474207,3303,16.342601267758866,3303,A,27,,52.94861887432752,9.256224986768574
DE-NW-000041,51.32692,7.309658,5172,4.64283583218956,5172,A,1,,51.297712430169504,7.261922768703612
DE-BY-000239,48.360195,10.082199,9230,4.972175536840957,9230,A,7,,48.315969272741434,10.092130824131718
DE-BB-002410,53.273006,14.054923,1607,15.99618679893443,1607,A,11,,53.317399977028884,14.283863140635448
DE-BB-284001,53.114998,12.469082,3611,10.198628416500396,3611,A,24,,53.17052998837906,12.347385677257277
DE-BW-081590,48.807976,9.048057,8140,4.901733902387987,8140,A,8,,48.78580292959925,8.99021858826781
DE-TH-071051,50.83779,11.010152,4343,0.11149026096015516,4343,A,71,,50.83679527806376,11.010351319442432
DE-RP-000014,49.69017,6.897348,172,9.555114858832075,172,A,1,,49.61333586934635,6.956782032584816
DE-SN-000068,51.30497,13.728586,4111,1.7414915229185426,4111,A,13,,51.3199754152486,13.721409475495538
DE-BW-005665,47.7458,7.55128,8052,3.633510543803297,8052,A,5,,47.77577429145014,7.531922910755296
DE-RP-000094,50.38981,7.25564,7773,0.5066336194306263,7773,A,61,,50.39247289619042,7.249841033535398
DE-NW-000241,51.44323,7.44202,5146,3.82453280635333,5146,A,45,,51.46843072796564,7.4044543645228424
DE-RP-000051,50.241295,7.042179,7088,6.2867235521521545,7088,B,259,,50.18562067809617,7.05756089794736
DE-BY-008558,49.176476,11.74976,9081,20.698747038367916,9081,A,3,,49.03566575935005,11.935737667967432
DE-BW-061005,49.334274,8.486474,7094,3.357293933858497,7094,B,39,,49.31545428333416,8.450249753762714
DE-SN-000033,51.24263,12.21863,4150,3.1202254930326965,4150,A,38,,51.26041149538397,12.25331237149287
DE-NW-000233,51.525265,7.791761,5167,7.16348057581796,5167,A,445,,51.526493155899686,7.895288749106169
DE-SN-000002,50.88893,12.750822,4126,0.6003940343487267,4126,A,72,,50.89298995850044,12.74517894317427
DE-BY-000321,47.997234,11.677325,9224,0.9880689476115853,9224,A,8,,47.98877477777547,11.681390103950159
DE-NI-290902,53.086887,7.239503,3358,10.465269311983121,3358,A,280,,53.180793337729654,7.22903025547712
DE-SN-000051,51.167805,14.060526,4116,7.614054358483331,4116,A,4,,51.18316973750306,14.166961982633387
DE-ST-009080,51.10516855814022,11.956974428322804,3903,1.4903568660530095,3903,A,9,,51.11856471092526,11.956287983967222
DE-NW-000015,52.09253,7.657085,5350,4.777165583901326,5350,B,219,,52.12867444069549,7.619270842942555
DE-NW-000180,51.423397,6.500906,5275,2.8078241089919485,5275,B,9,,51.39824849547883,6.497256146870913
DE-BB-444904,51.55931,13.92075,3610,14.061265090500905,3610,A,13,,51.68516824176982,13.900971808548446
DE-BY-008548,49.785343,10.43273,9041,3.348218683634206,9041,A,3,,49.770137220974355,10.472977183200761
DE-NW-000140,52.224827,7.13846,5160,0.5551703508225001,5160,A,31,,52.220329309550465,7.1349216349883156
DE-NW-000306,51.653297,6.198477,5240,5.994812304554819,5240,B,9,,51.686735447126544,6.1302883398941
DE-BW-081045,49.45625,9.532935,8375,17.272826413151655,8375,B,290,,49.5236091393799,9.74841806468022
DE-SL-000023,49.300117,6.7491,126,0.6479462754035469,126,A,620,,49.29503646860577,6.753475922038537
DE-BW-081530,49.561398,9.622764,8801,6.575068109251187,8801,B,27,,49.61970566878753,9.60759580453876
DE-BY-000112,48.80313,12.98071,9075,3.500070291595533,9075,A,92,,48.82375631353309,12.94460284640171
DE-BY-000285,50.2502,11.030946,9235,9.415337515025618,9235,A,73,,50.16686763750761,11.007486882512282
DE-BB-002408,53.27662,14.06071,1607,15.507979505822538,1607,A,11,,53.317399977028884,14.283863140635448
DE-MV-200028,53.620632,13.368432,1735,16.92192474611699,1735,B,197,,53.70856047684404,13.578064857360996
DE-RP-000105,50.338257,7.512081,7141,1.921546794285101,7141,A,61,,50.351471731304756,7.49463177654508
DE-RP-000057,49.541805,8.124484,7455,4.024378294281732,7455,A,6,,49.526882723725386,8.073678189090339
DE-SH-001106,54.15447,10.855735,1192,3.871769562486608,1192,B,501,,54.1199516313012,10.863536189703218
DE-SH-001205,54.0706,10.755669,1105,4.044460822437997,1105,A,1,,54.10379261823904,10.781026426528346
DE-MV-001346,53.383404,11.527373,1603,3.7872615677680557,1603,A,24,,53.40780015252064,11.56723188132439
DE-BY-000233,49.114986,10.231776,9568,8.367671232815818,9568,A,7,,49.19016012515279,10.23701476608099
DE-NI-301501,52.91241,8.16627,3450,9.039404756094516,3450,A,29,,52.99122050901764,8.199361438903175
DE-BW-081595,48.615902,8.907339,8184,3.8658797138490253,8184,A,81,,48.644705246070906,8.936798610135975
DE-RP-000047,50.2314,7.193102,7019,8.628323161197399,7019,B,49,,50.15537417820919,7.1688401524757825
DE-SL-000516,49.220535,7.07528,101,1.2041220506713934,101,A,6,,49.230761302885895,7.080734202183087
DE-HE-450003,50.760193,8.170655,6835,1.031140571520706,6835,A,45,,50.76109712474029,8.156064991689902
DE-BW-005565,48.75425,8.132056,8035,6.931540807384193,8035,A,5,,48.70382334044915,8.076497886371497
DE-BY-000461,48.03425,10.419946,9550,3.2227135210629294,9550,A,96,,48.03758192324348,10.37688950112734
DE-BY-000131,48.41523,13.416122,9085,0.8582982402627382,9085,A,3,,48.4177772553775,13.405143670162564
DE-BY-000100,49.008884,11.994297,9074,3.0140356738927396,9074,A,3,,48.99562303972772,12.030332738555504
DE-SL-000005,49.46613,6.977374,177,1.1443437099441076,177,A,1,,49.476400963293436,6.978369514450461
DE-RP-000037,50.37957,7.532706,7823,1.6824432102217675,7823,B,9,,50.38993219527719,7.549997184251702
DE-HE-500026,49.946655,8.609248,6922,1.2418743540067063,6922,A,5,,49.95775860126608,8.607380496941103
DE-BW-081075,49.19756,9.349554,8084,2.084911522166768,8084,A,81,,49.216251681459475,9.347291569962207
DE-MV-200013,54.019234,12.162623,1614,1.3193317449498199,1614,A,20,,54.019727240042485,12.142445029641829
DE-BY-000252,48.012875,10.138445,9231,2.5158593837960113,9231,A,7,,47.99175240052663,10.150564190085879
DE-NI-311503,52.82912,8.21564,3362,2.243475413232165,3362,B,69,,52.8105463871402,8.228679245187971
DE-BB-364501,52.299583,13.18368,3604,10.90667614580439,3604,A,10,,52.300694618400826,13.023294634530076
